participant_ID,event_day,event_type,event_name,event_time
125,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
125,1,Hack,Forming a new journal,all day
125,1,Flexible,NA,NA
52,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
52,1,Flexible,NA,NA
89,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
89,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
89,1,Workshop,Using OSF,1:30-3:30p
89,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
89,1,Hack,Syllabus for Research Methods,all day
89,1,Hack,Forming a new journal,all day
89,1,Hack,"Resources for changing culture in department, university, society",all day
89,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
50,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
50,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
50,1,Workshop,Using OSF,1:30-3:30p
50,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
50,1,Hack,Making open science more diverse and inclusive,all day
31,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
31,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
31,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
31,1,Hack,"Resources for changing culture in department, university, society",all day
31,1,Flexible,NA,NA
32,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
32,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
32,1,Workshop,Using OSF,1:30-3:30p
32,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
93,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
93,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
93,1,Hack,Syllabus for Research Methods,all day
121,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
121,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
121,1,Hack,"Resources for changing culture in department, university, society",all day
141,1,Hack,Syllabus for Research Methods,all day
156,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
156,1,Hack,Syllabus for Research Methods,all day
14,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
14,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
14,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
36,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
36,1,Hack,Forming a new journal,all day
143,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
143,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
143,1,Workshop,Using OSF,1:30-3:30p
143,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
20,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
20,1,Hack,Forming a new journal,all day
23,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
23,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
23,1,Hack,Forming a new journal,all day
23,1,Hack,"Resources for changing culture in department, university, society",all day
23,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
111,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
111,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
111,1,Hack,Making open science more diverse and inclusive,all day
164,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
164,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
164,1,Hack,Forming a new journal,all day
164,1,Hack,"Resources for changing culture in department, university, society",all day
164,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
164,1,Flexible,NA,NA
19,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
19,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
19,1,Hack,Syllabus for Research Methods,all day
19,1,Hack,"Resources for changing culture in department, university, society",all day
154,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
154,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
154,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
154,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
154,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
154,1,Flexible,NA,NA
86,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
86,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
86,1,Hack,Making open science more diverse and inclusive,all day
70,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
70,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
158,1,NA,NA,NA
58,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
58,1,Hack,Syllabus for Research Methods,all day
58,1,Hack,Forming a new journal,all day
58,1,Hack,"Resources for changing culture in department, university, society",all day
58,1,Flexible,NA,NA
65,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
65,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
65,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
65,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
65,1,Hack,Syllabus for Research Methods,all day
65,1,Hack,Making open science more diverse and inclusive,all day
65,1,Hack,Forming a new journal,all day
65,1,Hack,"Resources for changing culture in department, university, society",all day
65,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
118,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
118,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
118,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
42,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
42,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
69,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
69,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
69,1,Hack,Syllabus for Research Methods,all day
69,1,Hack,Forming a new journal,all day
69,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
39,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
39,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
39,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
21,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
21,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
21,1,Workshop,Using OSF,1:30-3:30p
145,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
145,1,Hack,Forming a new journal,all day
145,1,Flexible,NA,NA
166,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
166,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
47,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
47,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
47,1,Workshop,Using OSF,1:30-3:30p
47,1,Hack,Syllabus for Research Methods,all day
47,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
96,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
96,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
96,1,Hack,Making open science more diverse and inclusive,all day
96,1,Hack,"Resources for changing culture in department, university, society",all day
139,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
139,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
139,1,Hack,Syllabus for Research Methods,all day
139,1,Hack,Making open science more diverse and inclusive,all day
139,1,Flexible,NA,NA
129,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
129,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
129,1,Hack,Syllabus for Research Methods,all day
64,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
64,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
64,1,Workshop,Using OSF,1:30-3:30p
64,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
64,1,Hack,Making open science more diverse and inclusive,all day
64,1,Hack,"Resources for changing culture in department, university, society",all day
74,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
74,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
67,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
67,1,Hack,Syllabus for Research Methods,all day
67,1,Hack,Making open science more diverse and inclusive,all day
67,1,Hack,Forming a new journal,all day
67,1,Hack,"Resources for changing culture in department, university, society",all day
57,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
57,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
57,1,Hack,Syllabus for Research Methods,all day
8,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
8,1,Hack,Forming a new journal,all day
8,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
104,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
104,1,Workshop,Using OSF,1:30-3:30p
104,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
149,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
149,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
149,1,Hack,Forming a new journal,all day
38,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
38,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
38,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
49,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
49,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
49,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
49,1,Hack,Syllabus for Research Methods,all day
18,1,NA,NA,NA
157,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
157,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
157,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
157,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
157,1,Hack,Syllabus for Research Methods,all day
105,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
105,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
105,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
105,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
76,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
76,1,Workshop,Using OSF,1:30-3:30p
76,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
76,1,Hack,Syllabus for Research Methods,all day
76,1,Hack,Forming a new journal,all day
5,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
5,1,Hack,Syllabus for Research Methods,all day
5,1,Hack,Making open science more diverse and inclusive,all day
5,1,Hack,Forming a new journal,all day
5,1,Hack,"Resources for changing culture in department, university, society",all day
99,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
99,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
99,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
99,1,Hack,Syllabus for Research Methods,all day
84,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
84,1,Hack,Forming a new journal,all day
81,1,Workshop,Using OSF,1:30-3:30p
81,1,Hack,Syllabus for Research Methods,all day
81,1,Hack,Making open science more diverse and inclusive,all day
134,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
134,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
134,1,Hack,Making open science more diverse and inclusive,all day
134,1,Hack,"Resources for changing culture in department, university, society",all day
134,1,Flexible,NA,NA
126,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
126,1,Workshop,Using OSF,1:30-3:30p
126,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
126,1,Hack,Syllabus for Research Methods,all day
126,1,Hack,Making open science more diverse and inclusive,all day
126,1,Hack,"Resources for changing culture in department, university, society",all day
12,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
12,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
12,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
12,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
12,1,Hack,Syllabus for Research Methods,all day
12,1,Flexible,NA,NA
92,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
92,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
92,1,Hack,Syllabus for Research Methods,all day
162,1,Workshop,Using OSF,1:30-3:30p
162,1,Hack,Making open science more diverse and inclusive,all day
162,1,Hack,"Resources for changing culture in department, university, society",all day
94,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
94,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
94,1,Workshop,Using OSF,1:30-3:30p
94,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
4,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
4,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
4,1,Workshop,Using OSF,1:30-3:30p
4,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
4,1,Hack,Syllabus for Research Methods,all day
4,1,Hack,"Resources for changing culture in department, university, society",all day
46,1,Hack,Forming a new journal,all day
46,1,Hack,"Resources for changing culture in department, university, society",all day
46,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
46,1,Flexible,NA,NA
85,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
85,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
85,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
85,1,Flexible,NA,NA
22,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
22,1,Workshop,Using OSF,1:30-3:30p
22,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
22,1,Hack,Making open science more diverse and inclusive,all day
9,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
9,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
9,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
9,1,Hack,Syllabus for Research Methods,all day
9,1,Hack,"Resources for changing culture in department, university, society",all day
108,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
108,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
108,1,Hack,Syllabus for Research Methods,all day
87,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
87,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
87,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
87,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
87,1,Workshop,Using OSF,1:30-3:30p
87,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
87,1,Flexible,NA,NA
40,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
40,1,Hack,"Resources for changing culture in department, university, society",all day
142,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
142,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
142,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
142,1,Workshop,Using OSF,1:30-3:30p
142,1,Flexible,NA,NA
79,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
79,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
79,1,Workshop,Using OSF,1:30-3:30p
79,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
79,1,Hack,Making open science more diverse and inclusive,all day
29,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
29,1,Hack,Syllabus for Research Methods,all day
29,1,Hack,Forming a new journal,all day
144,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
144,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
144,1,Hack,"Resources for changing culture in department, university, society",all day
113,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
113,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
113,1,Workshop,Using OSF,1:30-3:30p
113,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
113,1,Hack,Syllabus for Research Methods,all day
113,1,Hack,Making open science more diverse and inclusive,all day
113,1,Flexible,NA,NA
138,1,Hack,Syllabus for Research Methods,all day
138,1,Flexible,NA,NA
115,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
115,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
115,1,Hack,Syllabus for Research Methods,all day
123,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
123,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
123,1,Hack,"Resources for changing culture in department, university, society",all day
123,1,Flexible,NA,NA
73,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
73,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
73,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
73,1,Hack,Syllabus for Research Methods,all day
133,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
133,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
133,1,Workshop,Using OSF,1:30-3:30p
133,1,Flexible,NA,NA
30,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
30,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
30,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
30,1,Hack,Syllabus for Research Methods,all day
30,1,Hack,Making open science more diverse and inclusive,all day
10,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
10,1,Workshop,Using OSF,1:30-3:30p
10,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
10,1,Hack,Syllabus for Research Methods,all day
10,1,Hack,Making open science more diverse and inclusive,all day
24,1,Workshop,Using OSF,1:30-3:30p
24,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
13,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
13,1,Hack,Making open science more diverse and inclusive,all day
159,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
159,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
159,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
159,1,Hack,Syllabus for Research Methods,all day
159,1,Flexible,NA,NA
117,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
117,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
117,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
117,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
117,1,Hack,Syllabus for Research Methods,all day
131,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
131,1,Workshop,Using OSF,1:30-3:30p
131,1,Hack,Syllabus for Research Methods,all day
131,1,Hack,"Resources for changing culture in department, university, society",all day
59,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
59,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
59,1,Hack,"Resources for changing culture in department, university, society",all day
77,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
77,1,Hack,Syllabus for Research Methods,all day
53,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
53,1,Workshop,Using OSF,1:30-3:30p
53,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
147,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
147,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
147,1,Workshop,Using OSF,1:30-3:30p
147,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
147,1,Hack,Syllabus for Research Methods,all day
147,1,Hack,Making open science more diverse and inclusive,all day
63,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
63,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
63,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
63,1,Hack,Syllabus for Research Methods,all day
63,1,Hack,"Resources for changing culture in department, university, society",all day
63,1,Flexible,NA,NA
75,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
72,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
72,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
72,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
72,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
72,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
72,1,Flexible,NA,NA
56,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
56,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
56,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
56,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
56,1,Hack,Forming a new journal,all day
56,1,Hack,"Resources for changing culture in department, university, society",all day
56,1,Flexible,NA,NA
80,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
80,1,Hack,Forming a new journal,all day
107,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
107,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
107,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
107,1,Flexible,NA,NA
97,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
97,1,Hack,"Resources for changing culture in department, university, society",all day
37,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
37,1,Workshop,Using OSF,1:30-3:30p
37,1,Flexible,NA,NA
146,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
146,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
